iter	Passed	Remaining
301	2535	5860
302	2544	5853
303	2552	5844
304	2569	5855
305	2579	5850
306	2608	5889
307	2622	5891
308	2633	5888
309	2645	5889
310	2696	5973
311	2752	6068
312	2792	6129
313	2811	6141
314	2828	6150
315	2846	6162
316	2866	6175
317	2886	6191
318	2917	6227
319	2940	6248
320	2949	6238
321	3013	6346
322	3031	6353
323	3092	6451
324	3100	6438
325	3108	6425
326	3175	6536
327	3232	6621
328	3266	6662
329	3330	6761
330	3363	6798
331	3382	6805
332	3389	6789
333	3398	6777
334	3416	6781
335	3438	6796
336	3463	6814
337	3495	6846
338	3517	6857
339	3547	6886
340	3562	6885
341	3576	6880
342	3589	6875
343	3604	6873
344	3632	6895
345	3653	6906
346	3664	6896
347	3669	6875
348	3677	6860
349	3682	6839
350	3687	6817
351	3695	6803
352	3700	6782
353	3705	6762
354	3712	6745
355	3717	6724
356	3724	6708
357	3730	6689
358	3734	6668
359	3743	6654
360	3747	6633
361	3752	6613
362	3760	6598
363	3764	6578
364	3769	6558
365	3778	6544
366	3783	6525
367	3792	6513
368	3797	6493
369	3801	6473
370	3810	6460
371	3819	6448
372	3827	6433
373	3832	6414
374	3841	6402
375	3848	6387
376	3856	6373
377	3861	6354
378	3866	6335
379	3874	6321
380	3879	6303
381	3885	6286
382	3894	6273
383	3899	6255
384	3908	6243
385	3913	6224
386	3919	6208
387	3925	6192
388	3930	6174
389	3938	6160
390	3943	6142
391	3948	6124
392	3957	6112
393	3962	6094
394	3967	6077
395	3986	6080
396	4006	6085
397	4011	6067
398	4018	6053
399	4024	6036
400	4031	6022
401	4037	6006
402	4042	5989
403	4050	5976
404	4055	5958
405	4059	5939
406	4067	5926
407	4072	5909
408	4077	5891
